id_turma;discente;id_curso;unidade;nota;reposicao;faltas_unidade;media_final;numero_total_faltas;descricao
MATEMÁTICA ELEMENTAR;ba3c4f644c5f035d5e54a3c25fbcbd32;TECNOLOGIA DA INFORMAÇÃO;3;0,3;false;0;2,1;16;REPROVADO
MATEMÁTICA ELEMENTAR;ba3c4f644c5f035d5e54a3c25fbcbd32;TECNOLOGIA DA INFORMAÇÃO;1;2,4;false;0;2,1;16;REPROVADO
MATEMÁTICA ELEMENTAR;ff26ae4fbe4ecde43575bc89deddbb30;TECNOLOGIA DA INFORMAÇÃO;3;0,0;false;0;1,2;26;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;ff26ae4fbe4ecde43575bc89deddbb30;TECNOLOGIA DA INFORMAÇÃO;1;1,5;false;0;1,2;26;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;ff26ae4fbe4ecde43575bc89deddbb30;TECNOLOGIA DA INFORMAÇÃO;2;2,1;false;0;1,2;26;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;a527f7071106930037eb24906550f333;TECNOLOGIA DA INFORMAÇÃO;1;8,5;false;0;6,5;6;APROVADO POR NOTA
MATEMÁTICA ELEMENTAR;a527f7071106930037eb24906550f333;TECNOLOGIA DA INFORMAÇÃO;2;7,5;false;0;6,5;6;APROVADO POR NOTA
MATEMÁTICA ELEMENTAR;a527f7071106930037eb24906550f333;TECNOLOGIA DA INFORMAÇÃO;3;3,5;false;0;6,5;6;APROVADO POR NOTA
MATEMÁTICA ELEMENTAR;ad5652f6412f70fa722235dc518b1b96;TECNOLOGIA DA INFORMAÇÃO;1;0,0;false;0;0,4;34;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;ad5652f6412f70fa722235dc518b1b96;TECNOLOGIA DA INFORMAÇÃO;2;1,3;false;0;0,4;34;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;ad5652f6412f70fa722235dc518b1b96;TECNOLOGIA DA INFORMAÇÃO;3;0,0;false;0;0,4;34;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;b6e05d38c8d4957ef27208ae386afa3d;TECNOLOGIA DA INFORMAÇÃO;1;1,8;false;0;0,8;14;REPROVADO
MATEMÁTICA ELEMENTAR;b6e05d38c8d4957ef27208ae386afa3d;TECNOLOGIA DA INFORMAÇÃO;2;0,5;false;0;0,8;14;REPROVADO
MATEMÁTICA ELEMENTAR;b6e05d38c8d4957ef27208ae386afa3d;TECNOLOGIA DA INFORMAÇÃO;3;0,1;false;0;0,8;14;REPROVADO
MATEMÁTICA ELEMENTAR;aae463e50f0743fe2fbbfb7c114ea1b0;TECNOLOGIA DA INFORMAÇÃO;1;1,7;false;0;0,7;18;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;aae463e50f0743fe2fbbfb7c114ea1b0;TECNOLOGIA DA INFORMAÇÃO;2;0,2;false;0;0,7;18;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;aae463e50f0743fe2fbbfb7c114ea1b0;TECNOLOGIA DA INFORMAÇÃO;3;0,1;false;0;0,7;18;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;c1f3d7ff15624b26b4435f3490fe4460;TECNOLOGIA DA INFORMAÇÃO;1;2,2;false;0;0,8;26;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;c1f3d7ff15624b26b4435f3490fe4460;TECNOLOGIA DA INFORMAÇÃO;2;0,2;false;0;0,8;26;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;c1f3d7ff15624b26b4435f3490fe4460;TECNOLOGIA DA INFORMAÇÃO;3;0,0;false;0;0,8;26;REPROVADO POR MÉDIA E POR FALTAS
MATEMÁTICA ELEMENTAR;eea709936575d4b3a85151bcab55b23f;TECNOLOGIA DA INFORMAÇÃO;1;4,5;false;0;5,0;4;APROVADO POR NOTA
MATEMÁTICA ELEMENTAR;eea709936575d4b3a85151bcab55b23f;TECNOLOGIA DA INFORMAÇÃO;2;4,5;true;0;5,0;4;APROVADO POR NOTA
MATEMÁTICA ELEMENTAR;eea709936575d4b3a85151bcab55b23f;TECNOLOGIA DA INFORMAÇÃO;3;4,6;false;0;5,0;4;APROVADO POR NOTA
MATEMÁTICA ELEMENTAR;fea143602a2ba1c82fe0bf3243f5d3d3;TECNOLOGIA DA INFORMAÇÃO;1;1,8;false;0;2,9;6;REPROVADO
